cat,nfor,ndefor,rate
1,18319,32,0.00017481948837472228
2,9194,38,0.0004140837730116642
3,12361,94,0.0007630711984888405
4,13956,120,0.0008631904615481467
5,13889,131,0.0009472197868723997
6,12873,194,0.0015173489733998347
7,13983,344,0.0024877973016569355
8,17975,310,0.0017381499442880033
9,11143,240,0.002174983023264354
10,15549,456,0.0029721013059591517
11,12114,475,0.003992038603884307
12,14252,485,0.0034562955779966487
13,14065,517,0.0037380467423803188
14,13112,441,0.003415346752104531
15,14080,608,0.0044044611086268
16,13186,692,0.005376209341457883
17,11896,684,0.005904258537825391
18,14691,870,0.00608599353299355
19,12914,828,0.006604517295036971
20,14188,1178,0.00863036715097143
21,13296,1354,0.010682694365907963
22,13000,1388,0.011227526672913823
23,13761,1616,0.01241439186579385
24,12941,1635,0.013415894566388253
25,13416,2067,0.016592639239081164
26,13489,2483,0.0201378651958658
27,13097,2525,0.02118969567466844
28,13474,3128,0.026070337554612855
29,13361,4681,0.04221490097235314
